Company,Domain
CIRCL,circl.lu
Cryptsoft Pty Ltd.,cryptsoft.com
Carnegie Mellon University,www.cmu.edu
EclecticIQ,www.eclecticiq.com
Electric Power Research Institute (EPRI),europe.epri.com
Siemens AG,www.siemens.com
Oracle,www.oracle.com
Microsoft,www.microsoft.com
NIST,www.nist.gov
TIBCO Software Inc.,www.tibco.com
sFractal Consulting LLC,www.sfractal.com
Arista Networks,www.arista.com
"Hitachi, Ltd.",www.hitachi.com
McAfee,www.mcafee.com
Red Hat,www.redhat.com
Cisco Systems,www.cisco.com
Mitre Corporation,www.mitre.org
AT&T,www.att.com
Accenture,www.accenture.com
Federal Office for Information Security (BSI) Germany,www.bsi.bund.de
"Huawei Technologies Co., Ltd.",www.huawei.com
Dell,www.dell.com
