Company,Domain,security.txt
CIRCL,circl.lu,Yes
Cryptsoft Pty Ltd.,cryptsoft.com,No
Carnegie Mellon University,www.cmu.edu,No
EclecticIQ,www.eclecticiq.com,No
Electric Power Research Institute (EPRI),europe.epri.com,No
Siemens AG,www.siemens.com,Yes
Oracle,www.oracle.com,No
Microsoft,www.microsoft.com,Yes
NIST,www.nist.gov,No
TIBCO Software Inc.,www.tibco.com,No
sFractal Consulting LLC,www.sfractal.com,No
Arista Networks,www.arista.com,No
"Hitachi, Ltd.",www.hitachi.com,No
McAfee,www.mcafee.com,No
Red Hat,www.redhat.com,Yes
Cisco Systems,www.cisco.com,Yes
Mitre Corporation,www.mitre.org,No
AT&T,www.att.com,No
Accenture,www.accenture.com,No
Federal Office for Information Security (BSI) Germany,www.bsi.bund.de,Yes
"Huawei Technologies Co., Ltd.",www.huawei.com,Yes
Dell,www.dell.com,Yes
